level,pos,en,fr,de,es,it,pt
2,noun,skin,peau,Haut,piel,pelle,pele
2,noun,tablet,comprimé,Tablette,tableta,compressa,comprimido
2,noun,test,test,Test,prueba,test,teste
2,noun,throat,gorge,Hals,gola,gola,garganta
2,noun,thumb,pouce,Daumen,pulgar,pollice,polegar
2,noun,tongue,langue,Zunge,lengua,lingua,língua
2,verb,beat,battre,schlagen,golpeare,battere,bater
2,verb,bleed,saigner,bluten,sangrar,sanguinare,sangrar
2,verb,breathe,respirer,atmen,respirar,respirare,respirar
2,verb,burn,brûler,brennen,quemare,bruciare,queimar
2,verb,cut,couper,schneiden,cortare,tagliare,cortar
2,verb,recover,récupérer,erholen,recuperare,recuperare,recuperar
3,adjective,alive,vivant,lebendig,vivo,vivo,vivo
3,adjective,asleep,endormi,eingeschlafen,dormido,addormentado,adormecido
3,adjective,awake,éveillé,wach,despierto,sveglio,acordado
3,adjective,blind,aveugle,blind,ciego,ciego,cego
3,adjective,deaf,sourd,taub,sordo,sordo,surdo
3,adjective,disabled,handicapé,behindert,discapacitado,disabile,deficiente
3,adjective,frozen,gelé,gefroren,congelado,congelato,congelado
3,adjective,human,humain,menschlich,humano,umano,humano
3,adjective,hurt,blessé,verletzt,herido,ferito,machucado
3,adjective,mad,fou,verrückt,loco,pazzo,louco
3,adjective,painful,douloureux,schmerzhaft,doloroso,doloroso,doloroso
3,adjective,pregnant,enceinte,schwanger,embarazada,incinta,grávida
3,adjective,sore,douloureux,wund,dolorido,dolorido,dolorido
3,adjective,unfit,inapte,ungeeignet,no apto,non idoneo,inapto
3,adjective,unhealthy,malsain,ungesund,insalubre,insalubre,insalubre
3,adjective,unwell,malade,unwohl,indispuesto,malato,indisposto
4,adjective,addicted,accro,süchtig,adicto,dipendente,viciado
4,adjective,bloody,sanglant,blutig,sangriento,sanguinario,sangrento
4,adjective,dental,dentaire,zahnärztlich,dental,dentale,dental
4,adjective,dizzy,étourdi,schwindlig,mareado,stordido,tonto
4,adjective,fatal,fatal,tödlich,fatal,fatale,fatal
4,adjective,injured,blessé,verletzt,herido,ferito,ferido
4,adjective,medical,médical,medizinisch,médico,medico,médico
4,adjective,non-smoking,non-fumeur,Nichtraucher,no fumador,non fumatori,não fumante
4,adjective,physical,physique,körperlich,físico,fisico,físico
4,adjective,poisonous,toxique,giftig,venenoso,velenoso,venenoso
4,adjective,psychological,psychologique,psychologisch,psicológico,psicologico,psicológico
4,adjective,swollen,enflé,geschwollen,hinchado,gonfio,inchado
4,adjective,toxic,toxique,giftig,tóxico,tossico,tóxico
4,adjective,unconscious,inconscient,bewusstlos,inconsciente,incosciente,inconsciente
4,adverb,physically,physiquement,körperlich,físicamente,fisicamente,fisicamente
4,adverb,psychologically,psychologiquement,psychologisch,psicológicamente,psicologicamente,psicologicamente
4,noun,X-ray,radiographie,Röntgenstrahl,radiografía,radiografia,radiografia
4,noun,beat,battement,Schlag,latido,battito,batida
4,noun,bite,morsure,Biss,mordida,morso,mordida
4,noun,breakdown,panne,Zusammenbruch,colapso,guasto,colapso
4,noun,bruise,ecchymose,Prellung,moretón,livido,hematoma
4,noun,bug,insecte,Wanze,insecto,insetto,inseto
4,noun,care,soin,Pflege,cuidado,cura,cuidado
4,noun,chest,poitrine,Brust,pecho,torace,peito
4,noun,condition,condition,Zustand,condición,condizione,condição
4,noun,consciousness,conscience,Bewusstsein,conciencia,coscienza,consciência
4,noun,cure,remède,Heilmittel,cura,cura,cura
4,noun,disability,handicap,Behinderung,discapacità,disabilità,deficiência
4,noun,dose,dose,Dosis,dosis,dose,dose
4,noun,drug,drogue,Droga,droga,droga,droga
4,noun,examination,examen,Untersuchung,examen,esame,exame
4,noun,eyebrow,sourcil,Augenbraue,ceja,sopracciglio,sobrancelha
4,noun,eyelash,cil,Cilium,pestaña,ciglio,cilho
4,noun,eyelid,paupière,Augenlid,párpado,palpebra,pálpebra
4,noun,eyesight,vue,Sehkraft,vista,vista,visão
4,noun,fingernail,ongle,Fingernagel,uña,unghia,unha
4,noun,gum,gencive,Zahnfleisch,encía,gengiva,gengiva
4,noun,heel,talon,Ferse,talón,tallone,calcanhar
4,noun,hip,hanche,Hüfte,cadera,anca,quadril
4,noun,illness,maladie,Krankheit,enfermedad,malattia,doença
4,noun,infection,infection,Infektion,infección,infezione,infecção
4,noun,injury,blessure,Verletzung,lesión,lesione,lesão
4,noun,jaw,mâchoire,Kiefer,mandíbula,mascella,mandíbula
4,noun,lap,genou,Schoß,regazo,grembo,colo
4,noun,liver,foie,Leber,hígado,fegato,fígado
4,noun,lung,poumon,Lunge,pulmón,polmone,pulmão
4,noun,muscle,muscle,Muskel,músculo,muscolo,músculo
4,noun,nail,clou,Nagel,uña,unghia,unha
4,noun,poison,poison,Gift,veneno,veleno,veneno
4,noun,reaction,réaction,Reaktion,reacción,reazione,reação
4,noun,recovery,rétablissement,Erholung,recuperación,recupero,recuperação
4,noun,remedy,remède,Heilmittel,remedio,rimedio,remédio
4,noun,rib,côte,Rippe,costilla,costola,costela
4,noun,scar,cicatrice,Narbe,cicatriz,cicatrice,cicatriz
4,noun,sensation,sensation,Gefühl,sensación,sensazione,sensação
4,noun,sense,sens,Sinn,sentido,senso,sentido
4,noun,sickness,maladie,Krankheit,enfermedad,malattia,doença
4,noun,skeleton,squelette,Skelett,esqueleto,scheletro,esqueleto
4,noun,smell,odeur,Geruch,olor,odore,odor
4,noun,spot,tache,Fleck,mancha,macchia,mancha
4,noun,stroke,accident vasculaire cérébral,Schlaganfall,derrame cerebral,ictus,derrame cerebral
4,noun,surgery,chirurgie,Chirurgie,cirugía,chirurgia,cirurgia
4,noun,sweat,sueur,Schweiß,sudor,sudore,suor
4,noun,symptom,symptôme,Symptom,síntoma,sintomo,sintoma
4,noun,therapy,thérapie,Therapie,terapia,terapia,terapia
4,noun,thigh,cuisse,Oberschenkel,muslo,coscia,coxa
4,noun,toenail,ongle d'orteil,Zehennagel,uña del pie,unghia del piede,unha do pé
4,noun,touch,toucher,Berührung,tacto,tocco,toque
4,noun,treatment,traitement,Behandlung,tratamiento,trattamento,tratamento
4,noun,virus,virus,Virus,virus,virus,vírus
4,noun,waist,taille,Taille,cintura,vita,cintura
4,noun,welfare,bien-être,Wohlfahrt,bienestar,benessere,bem-estar
4,noun,wound,blessure,Wunde,herida,ferita,ferida
4,noun,wrist,poignet,Handgelenk,muñeca,polso,pulso
4,verb,ache,douleur,Schmerz,dolor,dolore,dor
4,verb,bump,bosse,Beule,golpe,urto,colisão
4,verb,cure,guérir,heilen,curar,guarire,curar
4,verb,develop,développer,entwickeln,desarrollar,sviluppare,desenvolver
4,verb,faint,faible,ohnmächtig,desmayarse,svenire,desmaiar
4,verb,freeze,geler,frieren,congelar,congelare,congelar
4,verb,heal,guérir,heilen,sanar,guarire,curar
4,verb,itch,démanger,jucken,picazón,prurito,comichão
4,verb,sweat,suer,schwitzen,sudar,sudare,suar
4,verb,treat,traiter,behandeln,tratar,trattare,tratar
5,adjective,clinical,clinique,klinisch,clínico,clinico,clínico
5,adjective,conscious,conscient,bewusst,consciente,cosciente,consciente
5,adjective,dry,sec,trocken,seco,seco,seco
5,adjective,dumb,muet,stumm,mudo,muto,mudo
5,adjective,genetic,génétique,genetisch,genético,genetico,genético
5,adjective,poorly,malade,kränklich,enfermo,malato,doente
5,adjective,therapeutic,thérapeutique,therapeutisch,terapéutico,terapeutico,terapêutico
5,adverb,naturally,naturellement,natürlich,naturalmente,naturalmente,naturalmente
5,noun,blindness,cécité,Blindheit,cegueira,cecità,cegueira
5,noun,bump,bosse,Beule,golpe,urto,colisão
5,noun,cholesterol,cholestérol,Cholesterin,colesterol,colesterolo,colesterol
5,noun,deodorant,déodorant,Deodorant,desodorante,deodorante,desodorante
5,noun,digestion,digestion,Verdauung,digestión,digestione,digestão
5,noun,disorder,trouble,Störung,trastorno,disturbo,transtorno
5,noun,gene,gène,Gen,gen,gene,gene
5,noun,germ,microbe,Keim,germen,germe,germe
5,noun,health care,soins de santé,Gesundheitsversorgung,atención médica,assistenza sanitaria,assistência médica
5,noun,obesity,obésité,Fettleibigkeit,obesidad,obesità,obesidade
5,noun,organ,organe,Organ,órgano,organo,órgão
5,noun,posture,posture,Haltung,postura,postura,postura
5,noun,pregnancy,grossesse,Schwangerschaft,embarazo,gravidanza,gravidez
5,noun,pulse,pouls,Puls,pulso,polso,pulso
5,noun,side effect,effet secondaire,Nebenwirkung,efecto secundario,effetto collaterale,efeito colateral
5,noun,spine,colonne vertébrale,Wirbelsäule,columna vertebral,colonna vertebrale,coluna vertebral
5,noun,stamina,endurance,Ausdauer,resistencia,resistenza,resistência
5,noun,vein,veine,Vene,vena,vena,veia
5,noun,well-being,bien-être,Wohlbefinden,bienestar,benessere,bem-estar
5,verb,carry,porter,tragen,llevar,portare,carregar
5,verb,digest,digérer,verdauen,digerir,digerire,digerir
5,verb,react,réagir,reagire,reaccionar,reagire,reagir
5,verb,relax,se détendre,entspannen,relajarse,rilassarsi,relaxar
5,verb,starve,affamer,verhungern,morir de hambre,affamare,passar fome
5,verb,twist,tordre,drehen,torcer,torcere,torcer
6,adjective,chronic,chronique,chronisch,crónico,cronico,crônico
6,adjective,dead,mort,tot,muerto,morto,morto
6,adjective,facial,facial,Gesichts-,facial,facciale,facial
6,adjective,feeble,faible,schwach,débil,debole,frágil
6,adjective,fresh,frais,frisch,fresco,fresco,fresco
6,adjective,incurable,incurable,unheilbar,incurable,incurabile,incuravel
6,adjective,insane,fou,verrückt,loco,pazzo,louco
6,adjective,plump,dodu,rundlich,regordete,paffuto,rechonchudo
6,adjective,positive,positiv,positiv,positivo,positivo,positivo
6,adjective,rosy,rosé,rosig,rosado,rosato,rosado
6,adjective,sane,sain,gesund,cuerdo,sano,são
6,adjective,shattered,brisé,zerschmettert,hecho añicos,shattered,despedaçado
6,adjective,short-sighted,myope,kurzsichtig,miope,miope,míope
6,adjective,unbalanced,déséquilibré,unausgeglichen,desequilibrado,sbilanciato,desequilibrado
6,adjective,wrinkled,ridé,faltig,arrugado,rugoso,enrugado
6,adverb,medically,médicalement,medizinisch,médicamente,medicamente,medicamente
6,noun,antibiotic,antibiotique,Antibiotikum,antibiotico,antibiotico,antibiotico
6,noun,blister,ampoule,Blase,ampolla,vescica,bolha
6,noun,calf,veau,Kalb,ternero,vitelo,bezerro
6,noun,case,cas,Fall,caso,caso,caso
6,noun,circulation,circulation,Kreislauf,circulación,circulazione,circulação
6,noun,complex,complexe,Komplex,complejo,complesso,complexo
6,noun,complexion,teint,Teint,tez,incarnato,tez
6,noun,complication,complication,Komplikation,complicación,complicazione,complicação
6,noun,constitution,constitution,Verfassung,constitución,costituzione,constituição
6,noun,corpse,cadavre,Leiche,cadáver,cadavere,cadáver
6,noun,diagnosis,diagnostic,Diagnose,diagnóstico,diagnosi,diagnóstico
6,noun,diarrhoea,diarrhée,Durchfall,diarrea,diarrea,diarreia
6,noun,disc,disque,Scheibe,disco,disco,disco
6,noun,donor,donneur,Spender,donante,donatore,doador
6,noun,fist,poing,Faust,puño,pugno,punho
6,noun,flashback,flashback,Rückblende,flashback,flashback,flashback
6,noun,immune system,système immunitaire,Immunsystem,sistema inmunológico,sistema immunitario,sistema imunológico
6,noun,injection,injection,Injektion,inyección,iniezione,injeção
6,noun,insomnia,insomnie,Schlaflosigkeit,insomnio,insonnia,insônia
6,noun,joint,articulation,Gelenk,articulación,articolazione,articulação
6,noun,kidney,rein,Niere,riñón,rene,rim
6,noun,knuckle,articulation,Knöchel,nudillo,nocca,nó
6,noun,labour,travail,Arbeit,trabajo,lavoro,trabalho
6,noun,longevity,longévité,Langlebigkeit,longevidad,longevità,longevidade
6,noun,mortality,mortalité,Sterblichkeit,mortalidad,mortalità,mortalidade
6,noun,needle,aiguille,Nadel,aguja,ago,agulha
6,noun,nerve,nerf,Nerv,nervo,nervo,nervo
6,noun,nostril,narine,Nasenloch,fosa nasal,narice,narina
6,noun,palm,paume,Handfläche,palma,palmo,palma
6,noun,plague,peste,Plage,plaga,piaga,praga
6,noun,rash,éruption,Ausschlag,erupción,eruzione,erupção
6,noun,resistance,résistance,Widerstand,resistencia,resistenza,resistência
6,noun,sample,échantillon,Probe,muestra,campione,amostra
6,noun,scan,scanner,Scannen,escáner,scansione,escaneamento
6,noun,side,côté,Seite,lado,lado,lado
6,noun,skull,crâne,Schädel,cráneo,cranio,crânio
6,noun,starvation,famine,Verhungern,hambre,fame,fome
6,noun,stitch,point,Stich,puntada,punto,ponto
6,noun,strain,tension,Belastung,tensión,tensione,tensão
6,noun,sufferer,victime,Leidender,afectado,sofferente,sofredor
6,noun,system,système,System,sistema,sistema,sistema
6,noun,transplant,transplantation,Transplantation,trasplante,trapianto,transplante
6,noun,vaccination,vaccination,Impfung,vacunación,vaccinazione,vacinação
6,noun,vaccine,vaccin,Impfstoff,vacuna,vaccino,vacina
6,noun,wreck,épave,Wrack,restos,relitto,restos
6,noun,wrinkle,ride,Falte,arruga,rughe,rugas
6,verb,attack,attaquer,angreifen,atacar,attaccare,atacar
6,verb,bear,porter,tragen,soportar,sopportare,suportar
6,verb,conceive,concevoir,empfangen,concebir,concepire,conceber
6,verb,contract,contracter,vertragen,contraer,contrarre,contrair
6,verb,diagnose,diagnostiquer,diagnostizieren,diagnosticar,diagnosticare,diagnosticar
6,verb,infect,infecter,infizieren,infectar,infettare,infetar
6,verb,prescribe,prescrire,verschreiben,prescribir,prescrivere,prescrever
6,verb,scar,cicatriser,narben,cicatrizar,cicatrizzare,cicatrizar
6,verb,succumb,succomber,erliegen,succumbir,succumbire,succumbir
6,verb,transmit,transmettre,übertragen,transmitir,trasmettere,transmitir
6,verb,vaccinate,vacciner,impfen,vacunar,vaccinare,vacinar
6,verb,vomit,vomir,erbrechen,vomitar,vomitare,vomitar
